Technique,NoisePercent,MeanGlobalSeedAPFDc,CI95LowGlobalSeedAPFDc,CI95HighGlobalSeedAPFDc,MeanDeltaAPFDc,MedianDeltaAPFDc,MeanDegradationPctAPFDc,MeanRetentionPctAPFDc,APFDcDegradedProjects,APFDcTiedProjects,APFDcImprovedProjects,WilcoxonStatistic,RawPValue,BonferroniAdjustedPValue,SignificantBonferroni,PairedRankBiserial,NonZeroPairs,ZeroPairs
XGBoost,15,0.60906713012400115,0.59967427134466966,0.61845998890333265,-0.17514959236733171,-0.1375787119107636,21.358263654220082,78.641736345779904,22,0,2,3,5.9604644775390625e-07,4.76837158203125e-06,True,-0.97999999999999998,24,0
XGBoost,20,0.57971070918137935,0.56782359097432056,0.59159782738843802,-0.20450601330995369,-0.16800488061973559,24.713733361561509,75.286266638438491,23,0,1,1,2.384185791015625e-07,1.9073486328125e-06,True,-0.99333333333333329,24,0
XGBoost,25,0.54855689259792018,0.53691587359949611,0.56019791159634436,-0.2356598298934128,-0.19718872295526041,28.692355152914867,71.307644847085129,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,30,0.52812867735314095,0.51698149897199897,0.53927585573428283,-0.25608804513819211,-0.20850362780470591,31.075529890821105,68.924470109178898,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,40,0.48726641297314288,0.47664497880350859,0.49788784714277728,-0.29695030951819001,-0.26766877183747062,35.851994952426992,64.148005047573008,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
XGBoost,50,0.42675195619370981,0.41469165496784338,0.43881225741957608,-0.35746476629762308,-0.34126513709476541,43.01281525154959,56.987184748450403,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
LightGBM,5,0.68016006843081678,0.6709579306678698,0.68936220619376387,-0.0818997757980197,-0.063056295593641107,9.5593319709498008,90.440668029050201,18,0,6,46,0.0020009279251098633,0.016007423400878906,True,-0.69333333333333336,24,0
LightGBM,10,0.64704324960536985,0.63777478660865072,0.6563117126020892,-0.11501659462346669,-0.10928831849521881,13.787154561808888,86.21284543819111,19,0,5,26,0.00012707710266113281,0.0010166168212890625,True,-0.82666666666666666,24,0
LightGBM,15,0.6277217301690291,0.61793964677285074,0.63750381356520736,-0.13433811405980739,-0.12895393426840851,16.256328722782985,83.74367127721699,20,0,4,14,1.3113021850585938e-05,0.0001049041748046875,True,-0.90666666666666662,24,0
LightGBM,20,0.59875186724198803,0.58865609253679441,0.60884764194718155,-0.1633079769868486,-0.1623980581668549,19.57539396679763,80.42460603320238,22,0,2,9,3.9339065551757812e-06,3.147125244140625e-05,True,-0.93999999999999995,24,0
LightGBM,25,0.57268970698511734,0.56120342682310864,0.58417598714712604,-0.1893701372437194,-0.17983783177342269,22.707893036130734,77.292106963869259,23,0,1,7,2.2649765014648438e-06,1.811981201171875e-05,True,-0.95333333333333337,24,0
LightGBM,30,0.547930014181926,0.53734349576807661,0.55851653259577527,-0.21412983004691061,-0.1966919476116222,25.732400196707601,74.267599803292399,22,0,2,3,5.9604644775390625e-07,4.76837158203125e-06,True,-0.97999999999999998,24,0
LightGBM,40,0.49836878505429211,0.48894610801342892,0.50779146209515524,-0.26369105917454461,-0.23824330697154619,31.739500805122159,68.260499194877838,22,0,2,3,5.9604644775390625e-07,4.76837158203125e-06,True,-0.97999999999999998,24,0
LightGBM,50,0.4324762206383535,0.42301705156970548,0.44193538970700152,-0.3295836235904831,-0.35047702901238248,39.608001036390803,60.391998963609197,24,0,0,0,1.1920928955078125e-07,9.5367431640625e-07,True,-1,24,0
NaiveBayes,5,0.57338104933765421,0.56854121584117012,0.57822088283413831,-0.044222319235778101,-0.032170841226049199,3.9274765710728334,96.072523428927155,14,0,10,84,0.060427069664001465,0.48341655731201172,False,-0.44,24,0
NaiveBayes,10,0.55829541806483252,0.55052672835294425,0.56606410777672067,-0.059307950508599702,-0.063247413558075199,5.5194540218999988,94.480545978099997,16,0,8,66,0.015044927597045898,0.12035942077636719,False,-0.56000000000000005,24,0
NaiveBayes,15,0.54401519515392316,0.53272921575677301,0.55530117455107353,-0.073588173419509198,-0.075093504622879004,7.323692691911809,92.676307308088198,17,0,7,62,0.010507822036743164,0.084062576293945312,False,-0.58666666666666667,24,0
NaiveBayes,20,0.54605958407504795,0.53222438481336343,0.5598947833367327,-0.071543784498384194,-0.074410441214191297,6.5496993875631055,93.450300612436877,18,0,6,61,0.0095757246017456055,0.076605796813964844,False,-0.59333333333333338,24,0
NaiveBayes,25,0.54146929020346113,0.52656801470643122,0.55637056570049104,-0.0761340783699712,-0.067269618183067606,7.0418856808644543,92.958114319135518,17,0,7,71,0.022932052612304688,0.1834564208984375,False,-0.52666666666666662,24,0
NaiveBayes,30,0.53771791302919747,0.52146671530447208,0.55396911075392286,-0.079885455544234693,-0.076901178171019102,7.3696328048796369,92.630367195120357,17,0,7,69,0.019441962242126465,0.15553569793701172,False,-0.54000000000000004,24,0
NaiveBayes,40,0.52399602163780001,0.5088553333246375,0.53913670995096252,-0.093607346935632302,-0.090833218417016096,8.0230511809524163,91.97694881904755,17,0,7,62,0.010507822036743164,0.084062576293945312,False,-0.58666666666666667,24,0
NaiveBayes,50,0.4920519147301996,0.48086687736671052,0.50323695209368868,-0.12555145384323271,-0.1031972693572612,12.761964415181424,87.238035584818576,17,0,7,47,0.002245783805847168,0.017966270446777344,True,-0.68666666666666665,24,0
