Technique,NoisePercent,ProjectsPerSeed,Seeds,MeanGlobalSeedAPFDc,SDGlobalSeedAPFDc,SEGlobalSeedAPFDc,CI95LowGlobalSeedAPFDc,CI95HighGlobalSeedAPFDc,MeanGlobalSeedAPFD,SDGlobalSeedAPFD,SEGlobalSeedAPFD,CI95LowGlobalSeedAPFD,CI95HighGlobalSeedAPFD,Projects,CrossProjectMeanAPFDc,CrossProjectMedianAPFDc,CrossProjectSDAPFDc,CrossProjectQ1APFDc,CrossProjectQ3APFDc,CrossProjectIQRAPFDc,CrossProjectMinAPFDc,CrossProjectMaxAPFDc,CrossProjectMeanAPFD,CrossProjectMedianAPFD,CrossProjectSDAPFD,CrossProjectQ1APFD,CrossProjectQ3APFD,CrossProjectIQRAPFD,CrossProjectMinAPFD,CrossProjectMaxAPFD,Projects_CleanRelative,MeanDeltaAPFDc,MedianDeltaAPFDc,SDDeltaAPFDc,MinDeltaAPFDc,MaxDeltaAPFDc,APFDcDegradedProjects,APFDcTiedProjects,APFDcImprovedProjects,APFDcRetentionDefinedProjects,MeanRetentionPctAPFDc,MedianRetentionPctAPFDc,MeanDegradationPctAPFDc,MedianDegradationPctAPFDc,MeanDeltaAPFD,MedianDeltaAPFD,SDDeltaAPFD,MinDeltaAPFD,MaxDeltaAPFD,APFDDegradedProjects,APFDTiedProjects,APFDImprovedProjects,APFDRetentionDefinedProjects,MeanRetentionPctAPFD,MedianRetentionPctAPFD,MeanDegradationPctAPFD,MedianDegradationPctAPFD
XGBoost,5,24,30,0.68453858075862728,0.023819464842761005,0.0043488194006938161,0.67564424641204646,0.6934329151052081,0.76209474272647726,0.021110639446694016,0.0038542578094375637,0.75421190040619412,0.76997758504676039,24,0.68453858075862728,0.66632524022607775,0.14185482949057499,0.57474091135883398,0.77973550806459513,0.20499459670576115,0.44345734726536601,0.96052345851011045,0.76209474272647715,0.78011413007950736,0.10923746416940197,0.65751178040797831,0.82475145144939854,0.16723967104142023,0.60151515151515145,0.95879873103946056,24,-0.099678141732705824,-0.079327092101747099,0.10341990759638604,-0.35615274504551164,0.066120893817960824,22,0,2,24,87.633589373060204,89.77535754124473,12.366410626939796,10.224642458755275,-0.15505669037755257,-0.14353863160558128,0.10400036646872615,-0.36865530303030292,0.0040035425041877737,23,0,1,24,83.202796949463789,84.670437511835132,16.797203050536215,15.329562488164884
XGBoost,10,24,30,0.6412046636318911,0.026029099356670832,0.0047522416230639406,0.63148523819782387,0.65092408906595833,0.71378721486699859,0.023583600960802056,0.0043057567444772646,0.70498095354138091,0.72259347619261627,24,0.64120466363189121,0.62144843526259452,0.14368992092872288,0.54768324249906053,0.74634049187211682,0.19865724937305629,0.35236041915947452,0.95795659395170285,0.71378721486699848,0.6918047759836945,0.1220858486812494,0.63650559644671489,0.80522337525760235,0.16871777881088745,0.46251578282828282,0.95725588459301458,24,-0.14301205885944193,-0.11192213778782928,0.12781396414696916,-0.49073702618914089,0.02868689515668954,22,0,2,24,82.416621980689129,85.932372238698093,17.583378019310867,14.067627761301903,-0.20336421823703113,-0.1820827701923215,0.12398791114913274,-0.50765467171717149,-0.021243185041432966,24,0,0,24,77.997690440844195,79.134753116779621,22.002309559155801,20.865246883220379
XGBoost,15,24,30,0.60906713012400127,0.025154537793299157,0.0045925692576687235,0.59967427134466977,0.61845998890333276,0.6739931659357461,0.027458684944095188,0.0050132470477694717,0.66373992447031371,0.68424640740117848,24,0.60906713012400127,0.60083056015786496,0.13143527273983463,0.52179644257269098,0.67827425669346864,0.15647781412077766,0.34497935990799772,0.91592413452173183,0.67399316593574587,0.6749202632211917,0.11996228844496275,0.60384713494193132,0.768295604793369,0.16444846985143768,0.41119570699667962,0.91686659704730678,24,-0.17514959236733177,-0.13757871191076365,0.13594285266731046,-0.51696497284951137,0.012013665779415317,22,0,2,24,78.641736345779918,79.428770357443369,21.358263654220082,20.571229642556634,-0.24315826716828379,-0.22911419248276127,0.12322007171045059,-0.57189047556874273,-0.061632472587140774,24,0,0,24,73.650273615269484,72.629559644824752,26.349726384730502,27.370440355175248
XGBoost,20,24,30,0.57971070918137935,0.031834287219439546,0.005812119070728484,0.56782359097432067,0.59159782738843802,0.63588842832461367,0.032071531574563071,0.0058554337657091239,0.62391272161944067,0.64786413502978668,24,0.57971070918137935,0.57217709321267485,0.1237983323957797,0.52493174593016045,0.63325180812934745,0.10832006219918699,0.32516495665215289,0.87713246406464951,0.63588842832461367,0.62948865373748919,0.12135394785037605,0.57399046262699693,0.70752751662139735,0.13353705399440041,0.3796717171717171,0.89217446986291182,24,-0.20450601330995374,-0.16800488061973567,0.15000063817392162,-0.51793248869646247,0.011334597428113935,23,0,1,24,75.286266638438491,77.559420303164899,24.713733361561509,22.440579696835098,-0.28126300477941607,-0.27814949933797761,0.12806975728228934,-0.59049873737373726,-0.086324599771535726,24,0,0,24,69.522342826873199,68.462118183390174,30.477657173126801,31.537881816609822
XGBoost,25,24,30,0.54855689259792029,0.031175221434471018,0.0056917906716261128,0.53691587359949611,0.56019791159634447,0.6080003514737311,0.031714853667362729,0.0057903135871966698,0.59615783048795268,0.61984287245950953,24,0.54855689259792029,0.53322384005521872,0.11615963765710124,0.48474545964849036,0.58923206739836287,0.10448660774987251,0.2621868245933493,0.84045900302027321,0.6080003514737311,0.60467966098107118,0.12368182791452564,0.53515367718656304,0.68499668804998437,0.14984301086342133,0.32960858585858582,0.85548755452827208,24,-0.2356598298934128,-0.19718872295526044,0.14896111000087769,-0.58091062075526612,-0.026866536543107333,24,0,0,24,71.307644847085143,73.725908233835838,28.692355152914867,26.274091766164162,-0.30915108163029859,-0.30789860311049499,0.13299368974697579,-0.6405618686868686,-0.11490371940655919,24,0,0,24,66.511725739285623,66.642364845383469,33.488274260714377,33.357635154616545
XGBoost,30,24,30,0.52812867735314095,0.029852691972127983,0.0054503309317959596,0.51698149897199908,0.53927585573428283,0.58390861988987852,0.032421410558526521,0.0059193126363470475,0.57180226622497088,0.59601497355478616,24,0.52812867735314095,0.50726906067117283,0.1035882763206374,0.48042918801162016,0.55392008065990883,0.073490892648288675,0.3205866588963725,0.79146204437655376,0.58390861988987841,0.57687315254380223,0.10683776270145517,0.52810979603155572,0.62557050891773713,0.097460712886181411,0.38350694444444428,0.79705932878286756,24,-0.25608804513819217,-0.20850362780470599,0.15186077510304058,-0.52251078645224291,-0.048480934485688687,24,0,0,24,68.924470109178898,70.820631695041342,31.075529890821105,29.179368304958661,-0.33324281321415133,-0.33786789215095303,0.12473932836934269,-0.58666351010101003,-0.1374147011167498,24,0,0,24,63.978754172084983,63.19978960488443,36.021245827915017,36.80021039511557
XGBoost,40,24,30,0.48726641297314299,0.028444723115290272,0.0051932721640777016,0.47664497880350865,0.49788784714277734,0.52973011461096686,0.03959991925445145,0.0072299230170154065,0.5149432617462294,0.54451696747570433,24,0.48726641297314299,0.50212600568800914,0.084975018245455627,0.4486064966011501,0.53120408637963368,0.082597589778483582,0.29713292845011779,0.6947470687059164,0.52973011461096686,0.54366580901089234,0.10243699927821827,0.44454057152172766,0.59422774978152282,0.14968717825979516,0.34378156565656559,0.71389416762759972,24,-0.29695030951819007,-0.26766877183747062,0.16334035763096424,-0.59147754866902358,-0.031059038700440467,24,0,0,24,64.148005047573008,64.281984320885115,35.851994952426992,35.718015679114885,-0.38742131849306299,-0.37730385536808186,0.12794654716362655,-0.62638888888888877,-0.22090136054421761,24,0,0,24,58.150085036709449,60.322596638181764,41.849914963290551,39.677403361818236
XGBoost,50,24,30,0.42675195619370981,0.032298079861711786,0.0058967956347876268,0.41469165496784344,0.43881225741957619,0.4555256495222742,0.035800240164942251,0.0065361997008137798,0.44215762014727095,0.46889367889727745,24,0.42675195619370987,0.45224294107666885,0.083259018292454259,0.38930376721548615,0.48206635947945509,0.092762592263968935,0.2217249656385881,0.53548402322449762,0.4555256495222742,0.47174524396392331,0.098225201108484331,0.39339517207343899,0.53016358200458269,0.1367684099311437,0.24043560606060599,0.6450510204081632,24,-0.35746476629762319,-0.34126513709476547,0.19077411457610868,-0.65802369656574089,-0.055727289943747371,24,0,0,24,56.987184748450403,58.617859309674486,43.01281525154959,41.382140690325514,-0.46162578358175549,-0.43502109357784152,0.1298070847218063,-0.72973484848484838,-0.26719387755102042,24,0,0,24,50.092200854338842,53.234678862140427,49.907799145661158,46.765321137859573
LightGBM,0,24,30,0.76205984422883655,0.0027928996370663139,0.00050991137735640387,0.76101695836500649,0.7631027300926666,0.87048583629769449,0.0050474541864375753,0.00092153483862858205,0.86860108592947338,0.8723705866659156,24,0.76205984422883655,0.79911833908243035,0.15383190180525139,0.63224433514209788,0.90742019535880003,0.27517586021670215,0.52982372074168183,0.95611871191305764,0.87048583629769449,0.91816887683642245,0.12721679988337023,0.81908895968942219,0.9578416926590273,0.13875273296960511,0.4423923784941472,0.98194374370747595,24,0,0,0,0,0,0,24,0,24,100,100,0,0,0,0,0,0,0,0,24,0,24,100,100,0,0
LightGBM,5,24,30,0.68016006843081689,0.024643777530920424,0.0044993176186080277,0.6709579306678698,0.68936220619376398,0.75395967095400351,0.022773760482243402,0.0041579007784481471,0.74545580903287467,0.76246353287513235,24,0.68016006843081689,0.658701147772635,0.1432656101661153,0.57187939515619379,0.78781863309170785,0.21593923793551406,0.41486168203477858,0.96231549881092682,0.75395967095400351,0.76440168130744346,0.10785980906137077,0.64865605803618531,0.82271620943499546,0.17406015139881015,0.589838792876481,0.96148676301960045,24,-0.081899775798019797,-0.063056295593641121,0.11572230724012733,-0.38782619696063492,0.099644638166309751,18,0,6,24,90.440668029050201,92.941384895586864,9.5593319709498026,7.0586151044131409,-0.11652616534369098,-0.11639052533850508,0.12373004040903678,-0.34169823232323249,0.26927826443245323,22,0,2,24,88.410381068409507,87.667782866048938,11.589618931590486,12.332217133951064
