MetricRole,Metric,NoisePercent,TechniqueA,TechniqueB,AverageRankA,AverageRankB,RankDifferenceAbs,CrossProjectMeanA,CrossProjectMeanB,MeanDifferenceAminusB,BetterByAverageRank,NemenyiSE,QDemšar,QStudentizedRange,NemenyiPValue,NemenyiAlpha,CriticalDifference,SignificantNemenyi
PRIMARY,APFDc,5,XGBoost,NaiveBayes,2.1666666666666665,3.4166666666666665,1.25,0.68453858075862728,0.57338104933765421,0.11115753142097307,XGBoost,0.37267799624996495,3.3541019662496847,4.74341649025257,0.0044263982632981591,0.050000000000000003,0.95742161329511866,True
PRIMARY,APFDc,5,LightGBM,NaiveBayes,2.2083333333333335,3.4166666666666665,1.208333333333333,0.68016006843081689,0.57338104933765421,0.10677901909316267,LightGBM,0.37267799624996495,3.2422985673746942,4.5853026072441496,0.0065116825735872519,0.050000000000000003,0.95742161329511866,True
PRIMARY,APFDc,50,RandomForest,XGBoost,2.5,2.9583333333333335,0.45833333333333348,0.44302347448760199,0.42675195619370987,0.016271518293892118,RandomForest,0.37267799624996495,1.2298373876248847,1.7392527130926092,0.60780870809276544,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,50,RandomForest,LightGBM,2.5,2.875,0.375,0.44302347448760199,0.4324762206383535,0.010547253849248484,RandomForest,0.37267799624996495,1.0062305898749053,1.4230249470757708,0.74577235436939149,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,50,RandomForest,NaiveBayes,2.5,1.6666666666666667,0.83333333333333326,0.44302347448760199,0.4920519147301996,-0.049028440242597615,NaiveBayes,0.37267799624996495,2.2360679774997894,3.1622776601683791,0.11358109885511569,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,50,XGBoost,LightGBM,2.9583333333333335,2.875,0.083333333333333481,0.42675195619370987,0.4324762206383535,-0.0057242644446436342,LightGBM,0.37267799624996495,0.22360679774997938,0.31622776601683855,0.99605875374064279,0.050000000000000003,0.95742161329511866,False
PRIMARY,APFDc,50,XGBoost,NaiveBayes,2.9583333333333335,1.6666666666666667,1.2916666666666667,0.42675195619370987,0.4920519147301996,-0.065299958536489733,NaiveBayes,0.37267799624996495,3.4659053651246743,4.9015303732609885,0.0029694369900498119,0.050000000000000003,0.95742161329511866,True
PRIMARY,APFDc,50,LightGBM,NaiveBayes,2.875,1.6666666666666667,1.2083333333333333,0.4324762206383535,0.4920519147301996,-0.059575694091846099,NaiveBayes,0.37267799624996495,3.2422985673746947,4.5853026072441496,0.0065116825735872519,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,0,RandomForest,XGBoost,2,2,0,0.90396367124340937,0.91715143310402958,-0.013187761860620206,TIE,0.37267799624996495,0,0,1,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,0,RandomForest,LightGBM,2,2.2083333333333335,0.20833333333333348,0.90396367124340937,0.87048583629769449,0.033477834945714879,RandomForest,0.37267799624996495,0.55901699437494778,0.79056941504209544,0.94411090870229453,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,0,RandomForest,NaiveBayes,2,3.7916666666666665,1.7916666666666665,0.90396367124340937,0.78629048097980558,0.11767319026360379,RandomForest,0.37267799624996495,4.807546151624547,6.7988969693620147,9.0941105559405599e-06,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,0,XGBoost,LightGBM,2,2.2083333333333335,0.20833333333333348,0.91715143310402958,0.87048583629769449,0.046665596806335086,XGBoost,0.37267799624996495,0.55901699437494778,0.79056941504209544,0.94411090870229453,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,0,XGBoost,NaiveBayes,2,3.7916666666666665,1.7916666666666665,0.91715143310402958,0.78629048097980558,0.13086095212422399,XGBoost,0.37267799624996495,4.807546151624547,6.7988969693620147,9.0941105559405599e-06,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,0,LightGBM,NaiveBayes,2.2083333333333335,3.7916666666666665,1.583333333333333,0.87048583629769449,0.78629048097980558,0.084195355317888909,LightGBM,0.37267799624996495,4.2485291572495996,6.0083275543199202,0.00012647664611709075,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,5,RandomForest,XGBoost,2.5833333333333335,2.7083333333333335,0.125,0.74652351566056196,0.76209474272647715,-0.015571227065915183,RandomForest,0.37267799624996495,0.33541019662496846,0.47434164902525694,0.98700443394353765,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,5,RandomForest,LightGBM,2.5833333333333335,2.8333333333333335,0.25,0.74652351566056196,0.75395967095400351,-0.0074361552934415487,RandomForest,0.37267799624996495,0.67082039324993692,0.94868329805051388,0.90813177390141742,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,5,RandomForest,NaiveBayes,2.5833333333333335,1.875,0.70833333333333348,0.74652351566056196,0.80433220150968587,-0.057808685849123909,NaiveBayes,0.37267799624996495,1.9006577808748217,2.6879360111431234,0.22769676258145188,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,5,XGBoost,LightGBM,2.7083333333333335,2.8333333333333335,0.125,0.76209474272647715,0.75395967095400351,0.0081350717724736343,XGBoost,0.37267799624996495,0.33541019662496846,0.47434164902525694,0.98700443394353765,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,5,XGBoost,NaiveBayes,2.7083333333333335,1.875,0.83333333333333348,0.76209474272647715,0.80433220150968587,-0.042237458783208726,NaiveBayes,0.37267799624996495,2.2360679774997902,3.1622776601683804,0.11358109885511525,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,5,LightGBM,NaiveBayes,2.8333333333333335,1.875,0.95833333333333348,0.75395967095400351,0.80433220150968587,-0.05037253055568236,NaiveBayes,0.37267799624996495,2.5714781741247585,3.636619309193637,0.0496761660310302,0.050000000000000003,0.95742161329511866,True
