ProjectSlug,NoisePercent,RepetitionSeed,MeanAPFD,MeanAPFDc,SourceType
EMResearch__EvoMaster,50,12,0.9157890258152334,0.7222396038260795,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,13,0.8875200146914584,0.7097315088225695,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,14,0.8607582153422064,0.701097176525585,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,15,0.8663769714564262,0.6914665504281936,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,16,0.8656094529273487,0.6869941461516658,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,17,0.8821918073913314,0.7111653079940472,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,18,0.9016731886969134,0.7184168466045985,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,19,0.9007085745608594,0.7241214199926513,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,20,0.8795508834966643,0.70904232180748,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,21,0.8751848081485453,0.7124758231519155,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,22,0.8976162356706857,0.7304518444007678,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,23,0.8650003182613097,0.7043769475299494,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,24,0.9144057910440626,0.7208380677944325,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,25,0.8784071708972782,0.7072866680996621,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,26,0.8832519518764383,0.7136709908260138,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,27,0.8899429630810171,0.7102948362263076,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,28,0.8998406875916332,0.7209404040314893,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,29,0.9194555156478844,0.7246553201989442,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,30,0.8883061718435479,0.7182826032094262,ORIGINAL_AFFECTED
JMRI__JMRI,0,1,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,2,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,3,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,4,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,5,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,6,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,7,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,8,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
JMRI__JMRI,0,9,0.1069064624312755,0.3169575419957866,ORIGINAL_AFFECTED
